# x/m, y/m, cos, sin, vel/(m/s)
-16.4569, 7.64681, -0.907695, 0.419631, 0.000396825
-16.4569, 7.64681, -0.907695, 0.419631, 0.000396825
-16.4571, 7.64687, -0.907695, 0.419631, 0.0265873
-16.4573, 7.64697, -0.907695, 0.41963, 0.043254
-16.4577, 7.64717, -0.907696, 0.419629, 0.0646825
-16.4584, 7.64745, -0.907696, 0.419627, 0.0861111
-16.4592, 7.64785, -0.907698, 0.419624, 0.109921
-16.4604, 7.64835, -0.907701, 0.419618, 0.13373
-16.4615, 7.64887, -0.907704, 0.419612, 0.155159
-16.4634, 7.64968, -0.90771, 0.419599, 0.18373
-16.4646, 7.65022, -0.907714, 0.41959, 0.200397
-16.4664, 7.65097, -0.90772, 0.419576, 0.221825
-16.4683, 7.6518, -0.907728, 0.419559, 0.243254
-16.4712, 7.65301, -0.907741, 0.419531, 0.271825
-16.473, 7.65377, -0.90775, 0.419512, 0.288492
-16.4757, 7.65493, -0.907764, 0.41948, 0.312302
-16.4787, 7.65617, -0.907781, 0.419444, 0.336111
-16.4813, 7.65723, -0.907796, 0.419411, 0.355159
-16.4847, 7.65862, -0.907818, 0.419364, 0.378968
-16.4883, 7.6601, -0.907842, 0.419312, 0.402778
-16.4922, 7.66165, -0.90787, 0.419252, 0.426587
-16.4958, 7.66311, -0.907897, 0.419193, 0.448016
-16.5006, 7.66498, -0.907934, 0.419113, 0.474206
-16.5046, 7.66658, -0.907968, 0.41904, 0.495635
-16.5094, 7.66843, -0.908009, 0.418952, 0.519444
-16.5133, 7.66996, -0.908044, 0.418875, 0.538492
-16.519, 7.67214, -0.908097, 0.41876, 0.564683
-16.5244, 7.6742, -0.908149, 0.418647, 0.588492
-16.5294, 7.67613, -0.908197, 0.418543, 0.609921
-16.5353, 7.67835, -0.908253, 0.418422, 0.63373
-16.5407, 7.68042, -0.908305, 0.418309, 0.655159
-16.5463, 7.68256, -0.908359, 0.418192, 0.676587
-16.5528, 7.68501, -0.90842, 0.418059, 0.700397
-16.5594, 7.68756, -0.908484, 0.417921, 0.724206
-16.5684, 7.69099, -0.908569, 0.417735, 0.755159
-16.5727, 7.69262, -0.908609, 0.417647, 0.769444
-16.58, 7.69541, -0.908678, 0.417497, 0.793254
-16.5868, 7.69799, -0.908742, 0.417358, 0.814683
-16.5938, 7.70064, -0.908807, 0.417216, 0.836111
-16.6017, 7.70367, -0.908882, 0.417054, 0.859921
-16.6099, 7.70678, -0.908958, 0.416888, 0.88373
-16.6174, 7.70965, -0.909028, 0.416735, 0.905159
-16.626, 7.71293, -0.909108, 0.416561, 0.928968
-16.6339, 7.71594, -0.909181, 0.416401, 0.950397
-16.6429, 7.71937, -0.909265, 0.416218, 0.974206
-16.6512, 7.72254, -0.909341, 0.416051, 0.995635
-16.6597, 7.72576, -0.90942, 0.41588, 1.01706
-16.6694, 7.72943, -0.909508, 0.415686, 1.04087
-16.6782, 7.7328, -0.90959, 0.415508, 1.0623
-16.6873, 7.73624, -0.909673, 0.415326, 1.08373
-16.6965, 7.73974, -0.909757, 0.415141, 1.10516
-16.7059, 7.74332, -0.909843, 0.414952, 1.12659
-16.7166, 7.74737, -0.909941, 0.414738, 1.1504
-16.7264, 7.75108, -0.91003, 0.414543, 1.17183
-16.7375, 7.75529, -0.910131, 0.414321, 1.19563
-16.7476, 7.75914, -0.910224, 0.414117, 1.21706
-16.758, 7.76306, -0.910318, 0.41391, 1.23849
-16.778, 7.77065, -0.9105, 0.41351, 1.27897
-16.7804, 7.77156, -0.910522, 0.413462, 1.28373
-16.7926, 7.77615, -0.910632, 0.413219, 1.30754
-16.805, 7.78082, -0.910744, 0.412972, 1.33135
-16.8188, 7.78605, -0.910869, 0.412695, 1.35754
-16.8278, 7.78943, -0.91095, 0.412516, 1.37421
-16.8408, 7.79433, -0.911068, 0.412257, 1.39802
-16.8607, 7.80182, -0.911247, 0.411859, 1.43373
-16.8661, 7.80385, -0.911296, 0.411752, 1.44325
-16.8798, 7.80898, -0.911419, 0.411479, 1.46706
-16.8936, 7.81419, -0.911544, 0.411202, 1.49087
-16.9063, 7.81895, -0.911659, 0.410949, 1.5123
-16.9206, 7.8243, -0.911787, 0.410663, 1.53611
-16.9337, 7.8292, -0.911905, 0.410402, 1.55754
-16.9469, 7.83415, -0.912024, 0.410137, 1.57897
-16.9604, 7.83917, -0.912145, 0.409868, 1.6004
-16.9724, 7.84368, -0.912254, 0.409626, 1.61944
